State,Local Hospital Network (LHN),Hospital Name,Granularity,Sector,Number of bed (Actual),Number of clincial staff,Status,Notes
,Yarram and District Health Service,,LHN,PUBLIC,,103,Untouched,
,,YARRAM & DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,,
,Yea and District Memorial Hospital,,LHN,PUBLIC,,48.02,Untouched,
,,YEA & DISTRICT MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,Monash Health,,LHN,PUBLIC,,"14,439",Qualified,
,,DANDENONG CAMPUS,Facility,PUBLIC,>500,,,
,,MONASH MEDICAL CENTRE [CLAYTON],Facility,PUBLIC,>500,,,
,,MONASH MEDICAL CENTRE [MOORABBIN],Facility,PUBLIC,>500,,,
,,CASEY HOSPITAL,Facility,PUBLIC,200-500,,Discovery,
,,CRANBOURNE INTEGRATED CARE CENTRE,Facility,PUBLIC,<50,,,
,,KINGSTON CENTRE [CHELTENHAM],Facility,PUBLIC,100-199,,,
,,PAKENHAM HEALTH CENTRE,Facility,PUBLIC,,,Discovery,
,,VICTORIAN HEART HOSPITAL,Facility,PUBLIC,,,,
,,MONASH HEALTH COMMUNITY,Facility,PUBLIC,,,,
,,CASEY EARLY PARENTING CENTRE,Facility,PUBLIC,,,Untouched,
,,MOUNT GAMBIER PRIVATE HOSPITAL,Facility,PUBLIC,<50,,,
,,PARKVILLE YOUTH MENTAL HEALTH AND WELLBEING SERVICE,Facility,PUBLIC,,,Competitor,Piloting T-Pro
,,BAIRNSDALE REGIONAL HEALTH SERVICE,Facility,PUBLIC,100-199,,Discovery,
,,VICTORIAN INSTITUTE OF FORENSIC MENTAL HEALTH,Facility,PUBLIC,100-199,,Discovery,
,,COHUNA DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,BOORT DISTRICT HEALTH,Facility,PUBLIC,<50,,,
,,BEECHWORTH HEALTH SERVICE,Facility,PUBLIC,<50,,Pilot,
,,BASS COAST REGIONAL HEALTH,Facility,PUBLIC,50-99,,Discovery,
,,YOUTH PREVENTION AND RECOVERY CARE (Y-PARC),Facility,PUBLIC,,,,
,,CRESWICK DISTRICT HOSPITAL,Facility,PUBLIC,<50,,,
,,HEYWOOD RURAL HEALTH,Facility,PUBLIC,<50,,,
,,INGLEWOOD & DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,KERANG DISTRICT HEALTH,Facility,PUBLIC,<50,,,
,,ECHUCA REGIONAL HEALTH,Facility,PUBLIC,50-99,,,
,,MANSFIELD DISTRICT HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,KYNETON DISTRICT HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,TWEDDLE CHILD & FAMILY HEALTH CENTRE [FOOTSCRAY],Facility,PUBLIC,<50,,Discovery,
,,ORBOST REGIONAL HEALTH,Facility,PUBLIC,<50,,Discovery,
,,MANANGATANG & DISTRICT HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,SEYMOUR DISTRICT MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,SOUTH GIPPSLAND HOSPITAL [FOSTER],Facility,PUBLIC,<50,,Discovery,
,,CARITAS CHRISTI HOSPICE [KEW],Facility,PUBLIC,<50,,Pilot,
,,TALLANGATTA HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,Mildura Base Hospital,Facility,PUBLIC,,,Discovery,
,,BALLARAT HEALTH SERVICES [BASE CAMPUS],Facility,PUBLIC,200-500,,,
,,ROBINVALE DISTRICT HEALTH SERVICES,Facility,PUBLIC,<50,,,
,,DAYLESFORD DISTRICT HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,BALLARAT HEALTH SERVICES [QUEEN ELIZABETH CAMPUS],Facility,PUBLIC,50-99,,,
,,Victorian Institute of Forensic Mental Health Prison Health Service,Facility,PUBLIC,,,,
,,ST GEORGE'S HEALTH SERVICE- AGED CARE,Facility,PUBLIC,100-199,,,
,,St Vincent's Hospital [Fitzroy],Facility,PUBLIC,,,,
,,ST VINCENT'S PRIVATE HOSPITAL FITZROY,Facility,PUBLIC,200-500,,Discovery,
WA,,,State,PUBLIC,,"37,438",,
,Child Adolescent Health Service,,LHN,PUBLIC,,"4,449",Untouched,
,,PERTH CHILDREN’S HOSPITAL,Facility,PUBLIC,,,,
,East Metropolitan Health Service,,LHN,PUBLIC,,"6,884",Qualified,
,,ROYAL PERTH HOSPITAL WELLINGTON STREET CAMPUS,Facility,PUBLIC,200-500,,,
,,ARMADALE-KELMSCOTT MEMORIAL HOSPITAL,Facility,PUBLIC,200-500,,,
,,BENTLEY HOSPITAL,Facility,PUBLIC,100-199,,,
,,KALAMUNDA HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,St John of God Midland Public Hospital,Facility,PUBLIC,,,Pilot,
,,"Next Step Drug And Alcohol Services, East Perth",Facility,PUBLIC,,,,
,,Swan Districts Hospital,Facility,PUBLIC,,,,
,North Metropolitan Health Service,,LHN,PUBLIC,,"8,973",Qualified,
,,SIR CHARLES GAIRDNER HOSPITAL,Facility,PUBLIC,>500,,,
,,KING EDWARD MEMORIAL HOSPITAL FOR WOMEN,Facility,PUBLIC,200-500,,,
,,OSBORNE PARK HOSPITAL,Facility,PUBLIC,100-199,,Discovery,
,,GRAYLANDS SELBY-LEMNOS AND SPECIAL CARE HEALTH SERVICE,Facility,PUBLIC,100-199,,Qualified,
,,Joondalup Health Campus (Public),Facility,PUBLIC,,,,
,,Selby Authorised Lodge,Facility,PUBLIC,,,Discovery,
,,State Forensic Mental Health Service,Facility,PUBLIC,,,,
,South Metropolitan Health Service,,LHN,PUBLIC,,"9,420",Qualified,
,,FREMANTLE HOSPITAL,Facility,PUBLIC,200-500,,,
,,MURRAY DISTRICT HOSPITAL,Facility,PUBLIC,<50,,Discovery,Strong IMedX relationship
,,ROCKINGHAM GENERAL HOSPITAL,Facility,PUBLIC,100-199,,,
,,FIONA STANLEY HOSPITAL,Facility,PUBLIC,>500,,,
,,PEEL HEALTH CAMPUS,Facility,PUBLIC,,,,
,WA Country Health Service,,LHN,PUBLIC,,"7,712",Untouched,
,,ALBANY HOSPITAL,Facility,PUBLIC,100-199,,Qualified,
,,AUGUSTA HOSPITAL,Facility,PUBLIC,<50,,,
,,BEVERLEY HOSPITAL,Facility,PUBLIC,<50,,,
,,BODDINGTON HOSPITAL,Facility,PUBLIC,<50,,,
,,BOYUP BROOK SOLDIERS MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,,BRIDGETOWN HOSPITAL,Facility,PUBLIC,<50,,,
,,BROOME HOSPITAL,Facility,PUBLIC,50-99,,,
,,BRUCE ROCK MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,,BUNBURY HOSPITAL,Facility,PUBLIC,100-199,,,
,,BUSSELTON HEALTH CAMPUS,Facility,PUBLIC,50-99,,,
,,CARNARVON HOSPITAL,Facility,PUBLIC,<50,,,
,,COLLIE DISTRICT HOSPITAL,Facility,PUBLIC,,,,
,,CORRIGIN HOSPITAL,Facility,PUBLIC,<50,,,
,,CUNDERDIN HEALTH SERVICE,Facility,PUBLIC,,,Discovery,
,,DALWALLINU HOSPITAL,Facility,PUBLIC,<50,,,
,,DENMARK HOSPITAL AND HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,DERBY HOSPITAL,Facility,PUBLIC,<50,,,
,,DONGARA ENEABBA MINGENEW HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,DONNYBROOK HOSPITAL,Facility,PUBLIC,<50,,,
,,DUMBLEYUNG MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,,ESPERANCE HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,EXMOUTH HOSPITAL,Facility,PUBLIC,<50,,,
,,FITZROY CROSSING HOSPITAL,Facility,PUBLIC,<50,,,
,,GERALDTON HOSPITAL,Facility,PUBLIC,100-199,,,
,,GNOWANGERUP HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,GOOMALLING HOSPITAL,Facility,PUBLIC,<50,,,
,,HALLS CREEK HOSPITAL,Facility,PUBLIC,<50,,,
,,HARVEY HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,HEDLAND HEALTH CAMPUS,Facility,PUBLIC,50-99,,Discovery,
,,KALBARRI HEALTH CENTRE,Facility,PUBLIC,<50,,Discovery,
,,KALGOORLIE HOSPITAL,Facility,PUBLIC,100-199,,,
,,KARRATHA HEALTH CAMPUS,Facility,PUBLIC,,,Qualified,
,,KATANNING HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,KELLERBERRIN MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,,
,,KOJONUP HOSPITAL,Facility,PUBLIC,<50,,,
,,KONDININ DISTRICTS HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,KUNUNOPPIN HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,KUNUNURRA HOSPITAL,Facility,PUBLIC,<50,,,
,,LAKE GRACE HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,LAVERTON HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,LEONORA HOSPITAL,Facility,PUBLIC,<50,,,
,,MARGARET RIVER HOSPITAL,Facility,PUBLIC,<50,,,
,,MEEKATHARRA HOSPITAL,Facility,PUBLIC,<50,,,
,,MERREDIN HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,MOORA HOSPITAL,Facility,PUBLIC,<50,,,
,,MORAWA HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,MULLEWA HEALTH SERVICE,Facility,PUBLIC,<50,,,
,,NANNUP HOSPITAL,Facility,PUBLIC,<50,,,
,,NAREMBEEN MEMORIAL HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,NARROGIN HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,NEWMAN HOSPITAL,Facility,PUBLIC,<50,,,
,,NORSEMAN HOSPITAL,Facility,PUBLIC,<50,,,
,,NORTH MIDLANDS HEALTH SERVICE,Facility,PUBLIC,<50,,Discovery,
,,NORTHAM HOSPITAL,Facility,PUBLIC,<50,,,
,,NORTHAMPTON KALBARRI HEALTH SERVICE,Facility,PUBLIC,<50,,Discovery,
,,ONSLOW HOSPITAL,Facility,PUBLIC,<50,,,
,,PARABURDOO HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,PEMBERTON HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,PINGELLY HEALTH CENTRE,Facility,PUBLIC,<50,,Qualified,
,,PLANTAGENET HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,QUAIRADING HOSPITAL,Facility,PUBLIC,<50,,,
,,RAVENSTHORPE HEALTH CENTRE,Facility,PUBLIC,<50,,,
,,ROEBOURNE HOSPITAL,Facility,PUBLIC,<50,,,
,,SOUTHERN CROSS HOSPITAL,Facility,PUBLIC,<50,,,
,,TOM PRICE HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,WAGIN HOSPITAL,Facility,PUBLIC,<50,,,
,,WARREN HOSPITAL,Facility,PUBLIC,<50,,Qualified,
,,WONGAN HILLS HOSPITAL,Facility,PUBLIC,<50,,,
,,WYALKATCHEM-KOORDA AND DISTRICTS HOSPITAL,Facility,PUBLIC,<50,,,
,,WYNDHAM HOSPITAL,Facility,PUBLIC,<50,,Discovery,
,,YORK HOSPITAL,Facility,PUBLIC,<50,,,
